30%,Unnamed: 0,"Depression or other mood disorders (e.g., major depressive disorder, persistent depressive disorder)"
3%,,"Bipolar (e.g., bipolar I or II, cyclothymia)"
36%,,"Anxiety (e.g., generalized anxiety disorder, phobias)"
3%,,"Obsessive-compulsive or related disorders (e.g., obsessive-compulsive disorder, body dysmorphia)"
10%,,"Trauma and stressor related disorders (e.g., posttraumatic stress disorder)"
12%,,"Neurodevelopmental disorder or intellectual disability (e.g., attention deficit disorder, attention deficit hyperactivity disorder, intellectualdisability, autism spectrum disorder)"
5%,,"Eating disorder (e.g., anorexia nervosa, bulimia nervosa)"
1%,,"Psychosis (e.g., schizophrenia, schizo-affective disorder)"
2%,,"Personality disorder (e.g., antisocial personality disorder, paranoid personality disorder, schizoid personality disorder)"
2%,,"Substance use disorder (e.g., alcohol abuse, abuse of other drugs)"
54%,,"No, none of these"
