College students reported:,Unnamed: 0,Unnamed: 1,Unnamed: 2,Trans/,Unnamed: 3
,,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,
Flu vaccine within the last 12 month,,45.1,48.5,49.3,47.4
Not starting the HPV vaccine series,,24.0,17.3,11.5,19.0
"Starting, but not completing HPV vaccine series",,2.7,4.1,5.2,3.7
Completing HPV vaccine series,,39.1,54.0,53.9,49.3
Not knowing their HPV vaccine status,,34.2,24.6,29.4,27.9
Ever having a GYN visit or exam (females only),,,47.7,37.5,
Having a dental exam in the last 12 months,,67.7,73.0,66.8,70.9
Being tested for HIV within the last 12 months,,7.3,10.1,13.8,9.5
Being tested for HIV more than 12 months ago,,6.5,7.8,8.0,7.5
Wearing sunscreen usually or always when outdoors,,19.7,45.6,30.3,36.7
Spending time outdoors with the intention of tanning at least once in the last 12 months,,32.2,54.2,30.5,46.0
