Career,12.6,12.9,16.3,12.9.1,37.2,35.9,37.7,36.4
Finances,15.6,17.3,22.5,17.0,37.8,34.2,38.6,35.6
Procrastination,45.8,47.6,62.5,47.5,66.2,64.6,74.8,65.9
Faculty,6.5,6.2,10.0,6.5,57.1,53.1,56.6,54.7
Family,7.8,12.2,18.9,11.2,31.4,31.4,34.4,31.7
Intimate Relationships,10.5,11.3,13.6,11.1,32.3,31.9,34.8,32.3
Roommate/housemate,4.0,5.9,8.3,5.5,23.1,23.3,28.2,23.8
Peers,4.1,5.2,9.0,5.1,23.8,22.6,27.1,23.5
Personal appearance,4.8,7.7,11.1,7.0,12.7,13.6,16.6,13.7
Health of someone close to me,7.7,11.3,13.9,10.3,24.9,28.1,29.8,27.5
"Death of a family member, friend, or someone close to me",7.1,10.1,10.8,9.1,36.5,43.4,47.4,41.9
Bullying,1.6,2.5,4.1,2.3,34.5,38.3,36.3,37.4
Cyberbullying,1.0,1.1,2.8,1.2,33.9,39.8,40.8,38.5
Hazing,0.6,0.5,1.3,0.6,44.1,50.7,72.0,51.1
Microaggression,2.1,3.1,7.0,3.0,18.3,19.3,17.1,18.8
Sexual Harassment,0.6,2.3,4.6,1.9,22.1,23.2,28.6,24.1
Discrimination,2.0,2.7,6.6,2.7,24.4,30.1,31.5,28.9
