"Within the last 12 months, college students reported experiencing:",Unnamed: 0,Unnamed: 1,Unnamed: 2,Trans/,Unnamed: 3,Unnamed: 4
,,Cis Men,Cis Women,Gender Non-,Total,
Percent (%),,,,conforming,,
A physical fight,,3.4,1.2,3.0,,2.0
A physical assault (not sexual assault),,2.0,1.9,3.5,,2.1
A verbal threat,,11.2,8.6,17.5,,9.9
Sexual touching without their consent,,2.7,5.9,7.9,,5.1
Sexual penetration attempt without their consent,,1.0,2.0,3.3,,1.8
Sexual penetration without their consent,,0.9,1.5,3.2,,1.5
Being a victim of stalking,,2.2,4.7,7.3,,4.2
"A partner called me names, insulted me, or put me down to make me feel bad",,8.4,10.2,8.7,,9.6
A partner often insisted on knowing who I was with and where I was or tried to limit my contact with,,,,,,
family or friends,,5.7,6.0,5.6,,6.0
"A partner pushed, grabbed, shoved, slapped, kicked, bit, choked or hit me without my consent",,2.7,2.7,3.5,,2.9
A partner forced me into unwanted sexual contact by holding me down or hurting me in some way,,1.4,1.8,2.8,,1.8
"A partner pressured me into unwanted sexual contact by threatening me, coercing me, or using alcohol or",,,,,,
other drugs,,1.8,3.0,4.2,,2.8
