Unnamed: 0,Unnamed: 1,Unnamed: 2,Trans/,Unnamed: 3,Unnamed: 4,Unnamed: 5,Trans/.1,Unnamed: 6
,Cis Men,Cis Women,Gender Non-,Total,Cis Men,Cis Women,Gender Non-,Total
Percent (%),,,conforming,,,,conforming,
"Tobacco or nicotine delivery products (cigarettes, e-",,,,,,,,
"cigarettes, Juul or other vape products, water pipe or",,,,,,,,
"hookah, chewing tobacco, cigars, etc.)",29.1,26.7,28.6,27.4,19.9,17.6,18.4,18.2
"Alcoholic beverages (beer, wine, liquor, etc.)",60.4,65.6,65.1,63.7,54.4,60.4,55.6,57.7
"Cannabis (marijuana, weed, hash, edibles, vaped cannabis,",,,,,,,,
etc.) [Please report nonmedical use only.],30.7,33.6,46.8,33.4,19.7,21.9,35.8,21.8
"Cocaine (coke, crack, etc.)",4.6,3.7,3.9,4.0,1.6,1.0,1.1,1.2
"Prescription stimulants (Ritalin, Concerta, Dexedrine,",,,,,,,,
"Adderall, diet pills, etc.)  [Please report nonmedical use",,,,,,,,
only.],6.3,5.0,5.9,5.5,1.9,1.7,2.0,1.8
"Methamphetamine (speed, crystal meth, ice, etc.)",1.2,0.6,1.4,0.9,0.4,0.1,0.6,0.3
"Inhalants (poppers, nitrous, glue, gas, paint thinner, etc.)",4.2,2.2,5.2,3.1,1.4,0.8,2.2,1.1
"Sedatives or Sleeping Pills (Valium, Ativan, Xanax,",,,,,,,,
"Klonopin, Librium, Rohypnol, GHB, etc.) [Please report",,,,,,,,
nonmedical use only.],4.0,3.4,5.0,3.7,1.4,1.2,1.9,1.3
"Hallucinogens (Ecstasy, MDMA, Molly, LSD, acid,",,,,,,,,
"mushrooms, PCP, Special K, etc.)",9.3,6.1,13.4,7.5,3.6,2.0,5.9,2.7
Heroin,0.8,0.4,1.1,0.6,0.4,0.1,0.6,0.3
"Prescription opioids (morphine, codeine, fentanyl,",,,,,,,,
"oxycodone [OxyContin, Percocet], hydrocodone",,,,,,,,
"[Vicodin], methadone, buprenorphine [Suboxone], etc.)",,,,,,,,
[Please report nonmedical use only.],3.0,2.0,3.3,2.5,0.7,0.4,1.3,0.6
