Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Trans/,Unnamed: 4
,,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,
Birth control pills (monthly or extended cycle),,39.2,38.9,33.6,38.7
Birth control shots,,1.8,1.9,2.6,1.9
Birth control implants,,6.8,7.4,10.3,7.4
Birth control patch,,1.2,1.1,2.1,1.2
The ring,,1.6,1.9,1.2,1.8
"Emergency contraception (""morning after pill"" or ""Plan B"")",,6.1,7.2,6.8,7.0
Intrauterine device,,11.4,14.7,12.9,13.7
Male (external) condom,,58.2,50.7,58.4,53.0
Female (internal) condom,,0.3,0.2,0.0,0.2
Diaphragm or cervical cap,,0.1,0.1,0.0,0.1
Contraceptive sponge,,0.1,0.0,0.0,0.0
Withdrawal,,18.5,23.4,18.0,21.8
"Fertility awareness (calendar, mucous, basal body temperature)",,4.5,6.6,7.0,6.1
"Sterilization (hysterectomy, tubes tied, vasectomy)",,2.1,2.9,5.6,2.9
Other method,,1.4,1.1,2.6,1.3
