Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Trans/,Unnamed: 4,Unnamed: 5,Unnamed: 6,Trans/.1,Unnamed: 7
,,Cis Men,Cis Women,Gender Non-,Total,Cis Men,Cis Women,Gender Non-,Total
,Percent (%),,,conforming,,,,conforming,
Acne,,22.6,29.2,31.3,27.3,32.6,44.8,33.0,40.9
Allergies - food allergy,,9.8,13.6,17.8,12.7,26.0,34.6,25.9,31.8
Allergies - animals/pets,,11.4,13.9,16.6,13.3,22.7,32.2,27.5,29.4
"Allergies - environmental (for example: pollen, grass, dust,",,,,,,,,,
mold),,25.9,31.8,36.9,30.3,25.8,33.9,25.5,31.2
Asthma,,14.0,15.9,19.7,15.5,27.7,41.2,37.0,37.1
Cancer,,0.6,0.9,1.0,0.8,60.9,64.9,76.9,65.3
Celiac disease,,0.5,1.2,1.6,1.0,30.6,60.2,52.4,55.5
"Chronic pain (for example: back or joint pain, arthritis,",,,,,,,,,
nerve pain),,3.9,7.6,16.9,7.1,67.7,71.3,71.2,70.6
Diabetes or pre-diabetes/insulin resistance,,2.1,3.4,5.3,3.1,71.2,74.8,66.2,73.0
Endometriosis,,0.1,2.2,2.9,1.6,33.3,60.5,62.5,60.7
Gastroesophageal Reflux Disease (GERD) or acid reflux,,3.2,5.7,8.9,5.2,49.8,51.0,48.0,50.6
Heart & vascular disorders (for example: atrial fibrillation,,,,,,,,,
"or other cardiac arrhythmia, mitral valve prolapse or other",,,,,,,,,
"valvular heart disease, congenital heart condition)",,1.7,2.6,4.8,2.5,46.8,60.1,68.7,58.3
High blood pressure (hypertension),,4.3,2.7,4.0,3.3,58.7,71.2,60.0,65.1
High cholesterol (hyperlipidemia),,3.3,3.7,4.7,3.6,58.5,67.5,63.1,64.6
Irritable bowel syndrome (spastic colon or spastic bowel),,2.4,5.6,9.2,4.9,51.2,56.3,48.0,54.5
Migraine headaches,,5.3,13.4,17.9,11.2,37.9,54.2,48.4,51.2
Polycystic Ovarian Syndrome (PCOS),,0.1,5.0,4.8,3.5,28.6,70.7,65.6,69.9
Sleep Apnea,,2.6,1.7,2.9,2.1,57.4,50.8,59.0,54.5
Thyroid condition or disorder,,1.2,4.6,3.9,3.5,65.1,82.9,87.3,81.1
Urinary system disorder (for example: bladder or kidney,,,,,,,,,
"disease, urinary reflux, interstitial cystitis)",,0.6,1.6,2.1,1.3,53.3,63.6,62.1,62.4
