"unitid","institution name","year","EF2022A.Level of student","EF2022A.Grand total","EF2022A.Grand total men","EF2022A.Grand total women","EF2022A.American Indian or Alaska Native total","EF2022A.American Indian or Alaska Native men","EF2022A.American Indian or Alaska Native women","EF2022A.Asian total","EF2022A.Asian men","EF2022A.Asian women","EF2022A.Black or African American total","EF2022A.Black or African American men","EF2022A.Black or African American women","EF2022A.Hispanic total","EF2022A.Hispanic men","EF2022A.Hispanic women","EF2022A.Native Hawaiian or Other Pacific Islander total","EF2022A.Native Hawaiian or Other Pacific Islander men","EF2022A.Native Hawaiian or Other Pacific Islander women","EF2022A.White total","EF2022A.White men","EF2022A.White women","EF2022A.Two or more races total","EF2022A.Two or more races men","EF2022A.Two or more races women","EF2022A.Race/ethnicity unknown total","EF2022A.Race/ethnicity unknown men","EF2022A.Race/ethnicity unknown women","EF2022A.U.S. Nonresident total","EF2022A.U.S. Nonresident men","EF2022A.U.S. Nonresident women","EF2022A.Gender unknown","EF2022A.Another gender","EF2022A.Total of gender unknown and another gender","EF2022A.Total gender reported as one of the mutually exclusive binary categories (Men/Women)","IDX_EF"
"100654","Alabama A & M University","2022","All students total","6007","2369","3638","16","6","10","16","7","9","5136","2011","3125","63","24","39","8","2","6","119","53","66","66","20","46","473","180","293","110","66","44","0",,"0","6007","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate total","5206","2111","3095","13","4","9","11","6","5","4658","1868","2790","59","22","37","8","2","6","103","46","57","66","20","46","228","105","123","60","38","22","0",,"0","5206","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Degree/certificate-seeking total","5196","2107","3089","13","4","9","10","5","5","4653","1866","2787","57","22","35","8","2","6","103","46","57","66","20","46","226","104","122","60","38","22",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","1557","622","935","3","2","1","2","0","2","1388","542","846","22","4","18","4","1","3","19","8","11","23","6","17","77","42","35","19","17","2",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificate-seeking","3639","1485","2154","10","2","8","8","5","3","3265","1324","1941","35","18","17","4","1","3","84","38","46","43","14","29","149","62","87","41","21","20",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Non-degree/certificate-seeking","10","4","6","0","0","0","1","1","0","5","2","3","2","0","2","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Graduate","801","258","543","3","2","1","5","1","4","478","143","335","4","2","2","0","0","0","16","7","9","0","0","0","245","75","170","50","28","22","0",,"0","801","-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","209","87","122","1","0","1","0","0","0","172","71","101","3","1","2","0","0","0","19","8","11","5","2","3","4","3","1","5","2","3",,,,,"-2"
"100654","Alabama A & M University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","3430","1398","2032","9","2","7","8","5","3","3093","1253","1840","32","17","15","4","1","3","65","30","35","38","12","26","145","59","86","36","19","17",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students total","5262","2074","3188","11","3","8","10","5","5","4549","1776","2773","54","20","34","7","2","5","97","41","56","62","18","44","379","150","229","93","59","34",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate total","4794","1937","2857","11","3","8","9","5","4","4296","1712","2584","51","19","32","7","2","5","90","40","50","62","18","44","209","100","109","59","38","21",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","4792","1936","2856","11","3","8","9","5","4","4295","1711","2584","50","19","31","7","2","5","90","40","50","62","18","44","209","100","109","59","38","21",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","1547","618","929","3","2","1","2","0","2","1381","540","841","22","4","18","4","1","3","18","8","10","23","6","17","75","40","35","19","17","2",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","3245","1318","1927","8","1","7","7","5","2","2914","1171","1743","28","15","13","3","1","2","72","32","40","39","12","27","134","60","74","40","21","19",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","2","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Graduate","468","137","331","0","0","0","1","0","1","253","64","189","3","1","2","0","0","0","7","1","6","0","0","0","170","50","120","34","21","13",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","196","82","114","1","0","1","0","0","0","164","67","97","1","1","0","0","0","0","17","7","10","5","2","3","4","3","1","4","2","2",,,,,"-2"
"100654","Alabama A & M University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","3049","1236","1813","7","1","6","7","5","2","2750","1104","1646","27","14","13","3","1","2","55","25","30","34","10","24","130","57","73","36","19","17",,,,,"-2"
