institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Alabama A & M University,50.0,0.0,0.0,0.0,27.0,47.0,24.0,22.0,0.0,100.0,City: Midsize,"5,000 - 9,999",4
University of Alabama at Birmingham,55.0,82.0,82.0,100.0,57.0,53.0,66.0,66.0,67.0,63.0,City: Midsize,"20,000 and above",9
University of Alabama in Huntsville,33.0,69.0,69.0,,48.0,55.0,64.0,59.0,74.0,68.0,City: Midsize,"5,000 - 9,999",4
Alabama State University,50.0,40.0,40.0,,27.0,25.0,38.0,20.0,50.0,67.0,City: Midsize,"1,000 - 4,999",1
The University of Alabama,58.0,71.0,72.0,57.0,60.0,67.0,75.0,67.0,68.0,73.0,City: Small,"20,000 and above",5
Auburn University at Montgomery,14.0,40.0,40.0,,37.0,38.0,37.0,24.0,,8.0,City: Midsize,"5,000 - 9,999",4
Auburn University,57.0,82.0,81.0,100.0,69.0,77.0,82.0,74.0,100.0,70.0,City: Small,"20,000 and above",5
Jacksonville State University,29.0,57.0,67.0,0.0,37.0,60.0,56.0,,44.0,49.0,Suburb: Small,"5,000 - 9,999",4
University of West Alabama,0.0,0.0,,0.0,35.0,20.0,41.0,64.0,42.0,25.0,Rural: Remote,"5,000 - 9,999",3
University of Montevallo,0.0,50.0,50.0,,56.0,64.0,55.0,50.0,40.0,56.0,Suburb: Large,"1,000 - 4,999",1
University of North Alabama,70.0,67.0,67.0,,31.0,45.0,56.0,51.0,64.0,50.0,City: Small,"5,000 - 9,999",4
University of South Alabama,53.0,58.0,58.0,,45.0,38.0,53.0,48.0,52.0,14.0,City: Midsize,"10,000 - 19,999",2
Troy University,17.0,46.0,55.0,0.0,37.0,30.0,54.0,34.0,53.0,37.0,Town: Remote,"10,000 - 19,999",6
University of Alaska Anchorage,8.0,33.0,34.0,25.0,22.0,30.0,34.0,20.0,29.0,58.0,City: Large,"10,000 - 19,999",2
University of Alaska Fairbanks,22.0,50.0,57.0,33.0,27.0,30.0,48.0,33.0,29.0,67.0,Suburb: Small,"5,000 - 9,999",4
Arizona State University Campus Immersion,46.0,76.0,78.0,44.0,49.0,61.0,70.0,61.0,100.0,75.0,City: Midsize,"20,000 and above",9
University of Arizona,45.0,75.0,76.0,50.0,56.0,63.0,70.0,69.0,80.0,71.0,City: Large,"20,000 and above",0
Northern Arizona University,33.0,67.0,72.0,39.0,42.0,55.0,63.0,55.0,61.0,50.0,City: Small,"20,000 and above",5
University of Arkansas at Little Rock,33.0,74.0,74.0,,31.0,46.0,42.0,45.0,67.0,75.0,City: Midsize,"5,000 - 9,999",4
University of Arkansas,56.0,72.0,74.0,20.0,62.0,63.0,70.0,63.0,72.0,77.0,City: Small,"20,000 and above",5
University of Arkansas at Pine Bluff,0.0,50.0,50.0,,41.0,33.0,45.0,36.0,,83.0,City: Small,"1,000 - 4,999",1
Arkansas State University,43.0,64.0,64.0,,43.0,50.0,57.0,31.0,44.0,29.0,City: Small,"10,000 - 19,999",2
University of Central Arkansas,56.0,77.0,77.0,,41.0,49.0,54.0,45.0,0.0,31.0,City: Small,"5,000 - 9,999",4
Henderson State University,40.0,50.0,50.0,,25.0,43.0,45.0,36.0,100.0,17.0,Town: Distant,"1,000 - 4,999",8
