Name of College/University:,University of Southern California
Mailing Address:,University Park Campus
City/State/Zip/Country:,"Los Angeles, CA.  90089"
Street Address (if different):,3551 Trousdale Pkwy
City/State/Zip/Country:,
Main Phone Number:,213-740-2311
WWW Home Page Address:,https://www.usc.edu/
Admissions Phone Number:,213-740-1111
Admissions Toll-Free Phone Number:,
Admissions Office Mailing Address:,USC Office of Admission
City/State/Zip/Country:,"Los Angeles, CA.  90089"
Admissions Fax Number:,213-821-0200
Admissions E-mail Address:,
