Unnamed: 0,Unnamed: 1,FULL-TIME,Unnamed: 2,Unnamed: 3,Unnamed: 4,PART-TIME,Unnamed: 5,Unnamed: 6
,Men,Women,Another Gender,Men,,Women,,Another Gender
Undergraduates,,,,,,,,
"Degree-seeking, first-time, first-",,,,,,,,
year,"1 ,570","1,839",9,,1,1,,0
"Other first-year, degree-seeking",6 03,682,2,,6,4,,0
All other degree-seeking,"7 ,350","7,883",119,,248,185,,3
Total degree-seeking,"9 ,523","10,404",130,,255,190,,3
All other undergraduates enrolled,6 0,68,0,,38,28,,0
Total undergraduates,"9 ,583","10,472",130,,293,218,,3
Graduate,,,,,,,,
"Degree-seeking, first-time","3 ,057","4,001",12,,367,480,,2
All other degree-seeking,"6 ,875","8,306",59,,"1 ,876","2,259",,13
All other graduates enrolled in,2 32,240,2,,218,246,,1
Total graduate,"10,164","12,547",73,,"2 ,461","2,985",,16
Total all students,"19,747","23,019",203,,"2 ,754","3,203",,19
