Unnamed: 0,Unnamed: 1,FULL-TIME,Unnamed: 2,Unnamed: 3,PART-TIME
,Men,Women,Men,,Women
Undergraduates,,,,,
"Degree-seeking, first-time, first-","1 ,572","1,846",,1,1
"Other first-year, degree-seeking",6 04,683,,6,4
All other degree-seeking,"7 ,386","7,966",,2 49,187
Total degree-seeking,"9 ,562","10,495",,2 56,192
All other undergraduates enrolled,6 0,68,,38,28
Total undergraduates,"9 ,622","10,563",,294,220
Graduate,,,,,
"Degree-seeking, first-time","3 ,061","4,009",,368,481
All other degree-seeking,"6 ,898","8,342",,"1 ,879","2,269"
All other graduates enrolled in,2 33,241,,219,246
Total graduate,"1 0,192","12,592",,"2 ,466","2,996"
Total all students,"1 9,814","23,155",,"2 ,760","3,216"
