Unnamed: 0,"First-time, first-",Undergraduate
,year students,s
Percent who are from out of state (exclude,,
international/nonresidents from the numerator and,48%,39%
denominator),,
Percent of men who join fraternities,0%,0%
Percent of women who join sororities,0%,0%
"Percent who live in college-owned, -operated, or -",,
,97%,36%
affiliated housing,,
Percent who live off campus or commute,3%,64%
Percent of students age 25 and older,0%,0%
Average age of full-time students,19,21
Average age of all students (full- and part-time),19,21
