Unnamed: 0,Need-based,Non-need-
Scholarships/Grants,,
Federal,"$32,172,962",
"State all states, not only the state in which your institution is located",,
,"$25,726,894",
"Institutional: Endowed scholarships, annual gifts and tuition funded",,
"grants, awarded by the college, excluding athletic aid and tuition",,
waivers (which are reported below).,"$365,509,206","$78,765,242"
"Scholarships/grants from external sources (e.g. Kiwanis, National",,
Merit) not awarded by the college,"$17,204,341","$20,277,277"
Total Scholarships/Grants,"$440,613,403","$99,042,519"
Self-Help,,
Student loans from all sources (excluding parent loans),"$42,822,951","$27,005,870"
Federal Work-Study,"$23,416,206",
"State and other (e.g., institutional) work-study/employment (Note:",,
Excludes Federal Work-Study captured above.),,
Total Self-Help,"$66,239,157","$27,005,870"
Parent Loans,,"$75,658,750"
Tuition Waivers,,
Note: Reporting is optional. Report tuition waivers in this row if you,,
choose to report them. Do not report tuition waivers elsewhere.,"$14,259,262","$34,145,724"
Athletic Awards,"$5,770,460","$16,887,778"
