Unnamed: 0,Unnamed: 1,Full-time,Full-time.1,Less Than
,,First-time,Undergrad,Full-time
,,First-year,(Incl. Fresh),Undergrad
A,Number of degree-seeking undergraduate students,,,
,,3664,20110,509
,(CDS Item B1 if reporting on Fall 2022 cohort),,,
B,Number of students in line a who applied for need-based,,,
,,2554,10897,140
,financial aid,,,
C,Number of students in line b who were determined to,1826,8423,93
D,Number of students in line c who were awarded any,1825,8413,89
E,Number of students in line d who were awarded any,1640,7569,74
F,Number of students in line d who were awarded any,1625,7763,80
G,Number of students in line d who were awarded any non-,1442,5197,36
H,Number of students in line d whose need was fully met,1749,8210,76
I,"On average, the percentage of need that was met of",100.0%,100.0%,92.0%
J,The average financial aid package of those in line d.,"$63,884","$60,819","$31,785"
,Average need-based scholarship and grant award of,,,
K,,"$48,959","$45,764","$22,244"
,those in line e,,,
L,Average need-based self-help award (excluding PLUS,,,
,"loans, unsubsidized loans, and private alternative loans)","$6,830","$8,376","$6,567"
,of those in line f,,,
M,"Average need-based loan (excluding PLUS loans,","$4,537","$5,685","$4,633"
