I-1.,Unnamed: 0,Unnamed: 1,Full-Time,Part-Time,Total
,A,Total number of instructional faculty,2150.0,1520.0,3670.0
,B,Total number who are members of minority groups,842.0,668.0,1510.0
,C,Total number who are women,908.0,650.0,1558.0
,D,Total number who are men,1242.0,870.0,2112.0
,E,Total number who are nonresidents (international),75.0,9.0,84.0
,F,"Total number with doctorate, or other terminal degree",1937.0,964.0,2901.0
,,Total number whose highest degree is a master’s but not a terminal,,,
,G,,86.0,239.0,325.0
,,master’s,,,
,H,Total number whose highest degree is a bachelor’s,85.0,245.0,330.0
,,Total number whose highest degree is unknown or other (Note:,,,
,I,,42.0,72.0,114.0
,,"Items f, g, h, and i must sum up to item a.)",,,
,,Total number in stand-alone graduate/professional programs in,,,
,J,,,,459.0
,,which faculty teach virtually only graduate-level students,209.0,250.0,
