Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,CIP 2020 Categories
,Category,Diploma/Certificates,Associate,Bachelor’s,,
,,,,,,to Include
Agriculture,,,,0%,,01
Natural resources and conservation,,,,1.15%,,03
Architecture,,,,3.15%,,04
"Area, ethnic, and gender studies",,,,0.43%,,05
Communication/journalism,,,,8.78%,,09
Communication technologies,,,,0%,,10
Computer and information sciences,,,,5.98%,,11
Personal and culinary services,,,,0%,,12
Education,,,,0%,,13
Engineering,,,,8.07%,,14
Engineering technologies,,,,0.43%,,15
"Foreign languages, literatures, and linguistics",,,,1.50%,,16
Family and consumer sciences,,,,0%,,19
Law/legal studies,,,,0%,,22
English,,,,1.13%,,23
Liberal arts/general studies,,,,0%,,24
Library science,,,,0%,,25
Biological/life sciences,,,,4.70%,,26
Mathematics and statistics,,,,2.88%,,27
Military science and military technologies,,,,0%,,28 & 29
Interdisciplinary studies,,,,7.37%,,30
Parks and recreation,,,,0%,,31
Philosophy and religious studies,,,,1.22%,,38
Theology and religious vocations,,,,0%,,39
Physical sciences,,,,0.76%,,40
Science technologies,,,,0%,,41
Psychology,,,,3.24%,,42
"Homeland Security, law enforcement, firefighting,",,,,0%,,43
Public administration and social services,,,,0.86%,,44
Social sciences,,,,11.30%,,45
Construction trades,,,,0%,,46
Mechanic and repair technologies,,,,0%,,47
Precision production,,,,0%,,48
Transportation and materials moving,,,,0%,,49
Visual and performing arts,,,,11.38%,,50
Health professions and related programs,,,,2.56%,,51
Business/marketing,,,,21.66%,,52
History,,,,1.45%,,54
Other,,,,,,
TOTAL (should = 100%),,0.00%,0.00%,100.00%,,
