B,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"Of the initial 2016 cohort, how many",,,,
,did not persist and did not graduate,,,,
,for the following reasons:,,,,
,• Deceased,,,,
,• Permanently Disabled,0.0,1.0,11.0,12.0
,• Armed Forces,,,,
,• Foreign Aid Service of the Federal,,,,
,Government,,,,
,• Official church missions,,,,
,• Report Total Allowable Exclusions,,,,
C,"Final 2016 cohort, after adjusting for",,,,
,,506.0,427.0,2119.0,3052.0
,allowable exclusions,,,,
D,,,,,
,"Of the initial 2015 cohort, how many",,,,
,completed the program in four years,357.0,335.0,1717.0,2409.0
,"or less (by Aug. 31, 2020)",,,,
E,"Of the initial 2016 cohort, how many",,,,
,completed the program in more than,,,,
,four years but in five years or less,96.0,55.0,224.0,375.0
,"(after Aug. 31, 2020 and by Aug. 31,",,,,
,2021),,,,
F,,,,,
,"Of the initial 2016 cohort, how many",,,,
,completed the program in more than,,,,
,five years but in six years or less,12.0,2.0,26.0,40.0
,"(after Aug. 31, 2021 and by Aug. 31,",,,,
,2022),,,,
G,,,,,
,Total graduating within six years (sum,,,,
,,465.0,392.0,1967.0,2824.0
,"of lines D, E, and F)",,,,
H,,,,,
,Six-year graduation rate for 2016,,,,
,,0.918972332,0.918032787,0.928268051,0.925294889
,cohort (G divided by C),,,,
